Date,Calls,,,,
1/1/2017,219,,,,
1/2/2017,295,,average,min,max
1/3/2017,507,,375.5706462,174,813
1/4/2017,489,,,,
1/5/2017,429,,,,
1/6/2017,534,,,,
1/7/2017,294,,,,
1/8/2017,253,,,,
1/9/2017,549,,,,
1/10/2017,529,,,,
1/11/2017,516,,,,
1/12/2017,538,,,,
1/13/2017,487,,,,
1/14/2017,268,,,,
1/15/2017,258,,,,
1/16/2017,341,,,,
1/17/2017,696,,,,
1/18/2017,609,,,,
1/19/2017,623,,,,
1/20/2017,531,,,,
1/21/2017,296,,,,
1/22/2017,251,,,,
1/23/2017,550,,,,
1/24/2017,575,,,,
1/25/2017,581,,,,
1/26/2017,578,,,,
1/27/2017,489,,,,
1/28/2017,285,,,,
1/29/2017,287,,,,
1/30/2017,593,,,,
1/31/2017,578,,,,
2/1/2017,534,,,,
2/2/2017,546,,,,
2/3/2017,503,,,,
2/4/2017,277,,,,
2/5/2017,266,,,,
2/6/2017,666,,,,
2/7/2017,602,,,,
2/8/2017,613,,,,
2/9/2017,567,,,,
2/10/2017,541,,,,
2/11/2017,287,,,,
2/12/2017,275,,,,
2/13/2017,588,,,,
2/14/2017,577,,,,
2/15/2017,527,,,,
2/16/2017,541,,,,
2/17/2017,581,,,,
2/18/2017,296,,,,
2/19/2017,298,,,,
2/20/2017,633,,,,
2/21/2017,657,,,,
2/22/2017,547,,,,
2/23/2017,518,,,,
2/24/2017,452,,,,
2/25/2017,288,,,,
2/26/2017,262,,,,
2/27/2017,578,,,,
2/28/2017,554,,,,
3/1/2017,541,,,,
3/2/2017,488,,,,
3/3/2017,513,,,,
3/4/2017,289,,,,
3/5/2017,302,,,,
3/6/2017,608,,,,
3/7/2017,589,,,,
3/8/2017,526,,,,
3/9/2017,484,,,,
3/10/2017,543,,,,
3/11/2017,322,,,,
3/12/2017,246,,,,
3/13/2017,579,,,,
3/14/2017,539,,,,
3/15/2017,542,,,,
3/16/2017,507,,,,
3/17/2017,505,,,,
3/18/2017,300,,,,
3/19/2017,279,,,,
3/20/2017,530,,,,
3/21/2017,570,,,,
3/22/2017,571,,,,
3/23/2017,444,,,,
3/24/2017,430,,,,
3/25/2017,288,,,,
3/26/2017,268,,,,
3/27/2017,497,,,,
3/28/2017,530,,,,
3/29/2017,473,,,,
3/30/2017,507,,,,
3/31/2017,502,,,,
4/1/2017,304,,,,
4/2/2017,280,,,,
4/3/2017,591,,,,
4/4/2017,590,,,,
4/5/2017,528,,,,
4/6/2017,493,,,,
4/7/2017,513,,,,
4/8/2017,284,,,,
4/9/2017,299,,,,
4/10/2017,581,,,,
4/11/2017,530,,,,
4/12/2017,472,,,,
4/13/2017,487,,,,
4/14/2017,489,,,,
4/15/2017,320,,,,
4/16/2017,259,,,,
4/17/2017,463,,,,
4/18/2017,546,,,,
4/19/2017,496,,,,
4/20/2017,513,,,,
4/21/2017,508,,,,
4/22/2017,301,,,,
4/23/2017,284,,,,
4/24/2017,524,,,,
4/25/2017,514,,,,
4/26/2017,575,,,,
4/27/2017,465,,,,
4/28/2017,448,,,,
4/29/2017,318,,,,
4/30/2017,274,,,,
5/1/2017,618,,,,
5/2/2017,589,,,,
5/3/2017,538,,,,
5/4/2017,490,,,,
5/5/2017,531,,,,
5/6/2017,288,,,,
5/7/2017,306,,,,
5/8/2017,531,,,,
5/9/2017,528,,,,
5/10/2017,485,,,,
5/11/2017,499,,,,
5/12/2017,475,,,,
5/13/2017,311,,,,
5/14/2017,227,,,,
5/15/2017,568,,,,
5/16/2017,600,,,,
5/17/2017,550,,,,
5/18/2017,542,,,,
5/19/2017,525,,,,
5/20/2017,339,,,,
5/21/2017,304,,,,
5/22/2017,581,,,,
5/23/2017,537,,,,
5/24/2017,575,,,,
5/25/2017,496,,,,
5/26/2017,482,,,,
5/27/2017,352,,,,
5/28/2017,287,,,,
5/29/2017,309,,,,
5/30/2017,576,,,,
5/31/2017,610,,,,
6/1/2017,497,,,,
6/2/2017,473,,,,
6/3/2017,315,,,,
6/4/2017,311,,,,
6/5/2017,406,,,,
6/6/2017,500,,,,
6/7/2017,542,,,,
6/8/2017,517,,,,
6/9/2017,444,,,,
6/10/2017,306,,,,
6/11/2017,325,,,,
6/12/2017,558,,,,
6/13/2017,506,,,,
6/14/2017,546,,,,
6/15/2017,457,,,,
6/16/2017,506,,,,
6/17/2017,339,,,,
6/18/2017,315,,,,
6/19/2017,479,,,,
6/20/2017,594,,,,
6/21/2017,549,,,,
6/22/2017,573,,,,
6/23/2017,565,,,,
6/24/2017,298,,,,
6/25/2017,294,,,,
6/26/2017,535,,,,
6/27/2017,569,,,,
6/28/2017,561,,,,
6/29/2017,538,,,,
6/30/2017,419,,,,
7/1/2017,318,,,,
7/2/2017,299,,,,
7/3/2017,554,,,,
7/4/2017,295,,,,
7/5/2017,554,,,,
7/6/2017,554,,,,
7/7/2017,488,,,,
7/8/2017,279,,,,
7/9/2017,262,,,,
7/10/2017,597,,,,
7/11/2017,547,,,,
7/12/2017,549,,,,
7/13/2017,531,,,,
7/14/2017,477,,,,
7/15/2017,288,,,,
7/16/2017,293,,,,
7/17/2017,517,,,,
7/18/2017,520,,,,
7/19/2017,507,,,,
7/20/2017,528,,,,
7/21/2017,483,,,,
7/22/2017,269,,,,
7/23/2017,269,,,,
7/24/2017,597,,,,
7/25/2017,544,,,,
7/26/2017,488,,,,
7/27/2017,503,,,,
7/28/2017,470,,,,
7/29/2017,286,,,,
7/30/2017,296,,,,
7/31/2017,572,,,,
8/1/2017,482,,,,
8/2/2017,516,,,,
8/3/2017,502,,,,
8/4/2017,410,,,,
8/5/2017,278,,,,
8/6/2017,243,,,,
8/7/2017,410,,,,
8/8/2017,477,,,,
8/9/2017,531,,,,
8/10/2017,479,,,,
8/11/2017,455,,,,
8/12/2017,287,,,,
8/13/2017,278,,,,
8/14/2017,523,,,,
8/15/2017,464,,,,
8/16/2017,487,,,,
8/17/2017,471,,,,
8/18/2017,425,,,,
8/19/2017,271,,,,
8/20/2017,295,,,,
8/21/2017,448,,,,
8/22/2017,487,,,,
8/23/2017,468,,,,
8/24/2017,457,,,,
8/25/2017,449,,,,
8/26/2017,302,,,,
8/27/2017,259,,,,
8/28/2017,510,,,,
8/29/2017,373,,,,
8/30/2017,341,,,,
8/31/2017,345,,,,
9/1/2017,310,,,,
9/2/2017,261,,,,
9/3/2017,265,,,,
9/4/2017,265,,,,
9/5/2017,372,,,,
9/6/2017,322,,,,
9/7/2017,308,,,,
9/8/2017,335,,,,
9/9/2017,264,,,,
9/10/2017,263,,,,
9/11/2017,362,,,,
9/12/2017,358,,,,
9/13/2017,343,,,,
9/14/2017,321,,,,
9/15/2017,294,,,,
9/16/2017,262,,,,
9/17/2017,252,,,,
9/18/2017,344,,,,
9/19/2017,330,,,,
9/20/2017,299,,,,
9/21/2017,301,,,,
9/22/2017,301,,,,
9/23/2017,260,,,,
9/24/2017,264,,,,
9/25/2017,359,,,,
9/26/2017,339,,,,
9/27/2017,347,,,,
9/28/2017,384,,,,
9/29/2017,323,,,,
9/30/2017,271,,,,
10/1/2017,263,,,,
10/2/2017,356,,,,
10/3/2017,306,,,,
10/4/2017,339,,,,
10/5/2017,340,,,,
10/6/2017,307,,,,
10/7/2017,271,,,,
10/8/2017,265,,,,
10/9/2017,326,,,,
10/10/2017,338,,,,
10/11/2017,318,,,,
10/12/2017,301,,,,
10/13/2017,275,,,,
10/14/2017,238,,,,
10/15/2017,246,,,,
10/16/2017,354,,,,
10/17/2017,359,,,,
10/18/2017,340,,,,
10/19/2017,319,,,,
10/20/2017,289,,,,
10/21/2017,261,,,,
10/22/2017,263,,,,
10/23/2017,356,,,,
10/24/2017,322,,,,
10/25/2017,277,,,,
10/26/2017,283,,,,
10/27/2017,319,,,,
10/28/2017,224,,,,
10/29/2017,276,,,,
10/30/2017,327,,,,
10/31/2017,314,,,,
11/1/2017,326,,,,
11/2/2017,301,,,,
11/3/2017,271,,,,
11/4/2017,262,,,,
11/5/2017,255,,,,
11/6/2017,306,,,,
11/7/2017,311,,,,
11/8/2017,315,,,,
11/9/2017,310,,,,
11/10/2017,305,,,,
11/11/2017,217,,,,
11/12/2017,240,,,,
11/13/2017,310,,,,
11/14/2017,343,,,,
11/15/2017,312,,,,
11/16/2017,329,,,,
11/17/2017,262,,,,
11/18/2017,268,,,,
