date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
1/1/2017,0.6,-5.9,9.1,,,174,14.7,,1002.9,
1/2/2017,-1.5,-6.9,10.4,,,166,16.9,,1008.1,
1/3/2017,-7.2,-11.3,-0.7,,,,12.5,,1021.3,
1/4/2017,-12.9,-16,-10.1,,,,9.1,,1017.3,
1/5/2017,-16.3,-17.6,-15,,,,8.1,,1022.2,
1/6/2017,-12.6,-20.2,-5.2,,,,10.2,,1024.8,
1/7/2017,-8.8,-13.9,-1,,,,10.3,,1029,
1/8/2017,1.8,-10.6,8.8,,,,15.5,,1020.1,
1/9/2017,10.2,5,15.2,,,,27.7,,1002.7,
1/10/2017,,,,,,,,,,
1/11/2017,4,-5.4,13.9,,,214,23.8,,999.7,
1/12/2017,-1.7,-8,6.2,,,143,15.9,,1017.1,
1/13/2017,-3.4,-7.8,3.5,,,,4.9,,1027.2,
1/14/2017,-1.2,-5.3,5.6,,,,8.2,,1027.7,
1/15/2017,-1.6,-4.4,0.7,,,,6.6,,1018.9,
1/16/2017,-1.3,-2.9,0.7,,,,13.7,,1019.1,
1/17/2017,-1.2,-8.8,8.2,,,,11.8,,1018.8,
1/18/2017,1.9,-5.1,11,,,,12.5,,1011.2,
1/19/2017,3.3,-1.2,11.9,,,,12.9,,1000.4,
1/20/2017,1.4,-1.8,6.4,,,,9.5,,,
1/21/2017,-0.8,-5.3,4.3,,,,9.2,,997,
1/22/2017,0.9,-4.2,7,,,221,12.4,,1011.2,
1/23/2017,3.6,-4.7,11.6,,,,14.6,,1001.1,
1/24/2017,-3.8,-8.7,-0.4,,,,12.8,,1003.6,
1/25/2017,-7.5,-12.3,-1.5,,,,10.7,,1018.4,
1/26/2017,-7.5,-12.9,-2,,,,11,,1025.8,
1/27/2017,-5.2,-12.7,3.9,,,,13.4,,1028.9,
1/28/2017,0.9,-7.7,9.3,,,259,12.3,,1027.3,
1/29/2017,5.3,-2.5,14.6,,,247,13.5,,1025.6,
1/30/2017,7.7,1.2,16.2,,,,17.2,,1016.9,
1/31/2017,8.1,2.5,17.1,,,,12.4,,1009.5,
2/1/2017,-3.9,-6.5,2.5,,,,11.2,,1019.7,
2/2/2017,-6,-8.9,-3.8,,,,6.1,,1024.1,
2/3/2017,-6,-9,-1.3,,,,9.1,,1023.7,
2/4/2017,7.2,-3.4,14.8,,,233,20.7,,1011.3,
2/5/2017,6.7,0.7,14.9,,,171,15.5,,1010.9,
2/6/2017,8.3,2.8,15.9,,,229,18.8,,1001.8,
2/7/2017,9.3,2.6,16.8,,,,16.4,,1001,
2/8/2017,8.9,3.5,14.2,,,,26.3,,1010.3,
2/9/2017,11.6,3.7,19,,,,14.7,,1012.2,
2/10/2017,16.7,10.8,25.8,,,,14,,1004.4,
2/11/2017,8.9,3,12.6,,,,13.9,,1011.7,
2/12/2017,2.3,-1.7,8.6,,,,12.1,,1028.9,
2/13/2017,2.8,-1.5,7.8,,,,11.1,,1022.5,
2/14/2017,1.5,-3.4,8.1,,,,9.9,,1024.3,
2/15/2017,6.2,-3,18,,,,11.5,,1018.4,
2/16/2017,10.7,1.7,22.5,,,184,15.1,,1006.3,
2/17/2017,8.4,2.1,17.6,,,171,15.6,,1003.1,
2/18/2017,9.6,1.8,18.3,,,186,18.1,,1003.2,
2/19/2017,10,5,16.4,,,,19.2,,999.7,
2/20/2017,8.3,1.2,16.1,,,,14.3,,1011.6,
2/21/2017,14.4,6.5,21.8,,,,22.1,,1011.9,
2/22/2017,8,-0.9,13.9,,,76,21.2,,,
2/23/2017,-4.1,-8.2,-0.2,,,,14.3,,1005,
2/24/2017,-7,-8.5,-4.4,,,,8.3,,1017.4,
2/25/2017,-4.6,-11.1,2.4,,,,13.6,,1014.9,
2/26/2017,-2.6,-10.7,5,,,,9.8,,1010.1,
2/27/2017,3,-6.4,13.1,,,,21.2,,1003,
2/28/2017,-2.8,-6.2,1.2,,,,15.2,,1008.3,
3/1/2017,-0.5,-9.5,7.7,,,,15.4,,1022.2,
3/2/2017,2.1,-7,11.2,,,,11.8,,1027.3,
3/3/2017,6,-1.9,16.4,,,,14.5,,1020.8,
3/4/2017,10,1.4,20.2,,,,19.2,,1010.3,
3/5/2017,12.1,6,18.6,,,208,23.9,,1000.8,
3/6/2017,2.5,-6,10.7,,,268,38,,1001.2,
3/7/2017,1.6,-8,11.4,,,,18.6,,1018.7,
3/8/2017,8.9,-1.9,17.6,,,,13.9,,1017,
3/9/2017,11.5,2.5,21.3,,,,20.4,,1016.6,
3/10/2017,6.5,-2.7,19.4,,,,9,,1019,
3/11/2017,5.2,1.7,8.3,,,,9.7,,1021.4,
3/12/2017,,,,,,,,,,
3/13/2017,5.1,-4.2,12.8,,,,9.5,,1020.1,
3/14/2017,12.8,4.8,21.1,,,,12.4,,1015.4,
3/15/2017,14.1,4.6,23.8,,,,15.7,,1015.9,
3/16/2017,15.3,7.2,24,,,,15,,1011.7,
3/17/2017,13.4,6,21.6,,,121,18.1,,1018.2,
3/18/2017,14.5,2.3,25.6,,,160,11.8,,1018,
3/19/2017,16.7,9.5,25.5,,,,13.6,,1013.9,
3/20/2017,16.6,10.7,23.7,,,,13.8,,1014,
3/21/2017,10.4,3,20.3,,,,14,,1016.7,
3/22/2017,12.3,2.9,23.5,,,,17.7,,1010.4,
3/23/2017,15.2,5.3,23.3,,,206,27.7,,998.9,
3/24/2017,4.2,0,10.6,,,,30.6,,1015,
3/25/2017,8.2,0.1,16.7,,,166,18.2,,1012.7,
3/26/2017,7.3,4.1,10.7,,,,11.7,,1009,
3/27/2017,8.4,0.8,16,,,,12.3,,1009.3,
3/28/2017,5.5,2.3,7.4,,,,19.9,,1009.3,
3/29/2017,5,0.1,13.1,,,11,19.5,,1016.5,
3/30/2017,9.7,2.1,19,,,,12.1,,1005.1,
3/31/2017,4.2,0.1,9.3,,,,17.4,,1007.8,
4/1/2017,1.4,-0.3,4.1,,,,7.3,,1019.9,
4/2/2017,7.5,-1.2,16.3,,,,10.2,,1009.4,
4/3/2017,7.1,0.8,14.1,,,,18.5,,1005.7,
4/4/2017,0.8,-0.7,4.2,,,4,13.9,,1014.1,
4/5/2017,3.4,-4.5,11.9,,,,11.8,,1021.4,
4/6/2017,9.4,-0.4,18.2,,,170,16.8,,1018.6,
4/7/2017,16,7.7,23.5,,,,18.6,,1007.9,
4/8/2017,17.2,10.6,23.9,,,203,18.5,,1000.1,
4/9/2017,8.9,3.1,14,,,328,26.3,,1002.9,
4/10/2017,6.2,-2.9,14.5,,,107,18.8,,1017.6,
4/11/2017,10.6,-0.1,20.7,,,,17.1,,1016.7,
4/12/2017,13,2.7,22,,,132,15,,1014.1,
4/13/2017,15.4,5.6,24.8,,,,22.5,,1011.3,
4/14/2017,16.8,6.5,25.8,,,,16.4,,1002.3,
4/15/2017,12.5,4.7,19.4,,,,14.1,,1010.5,
4/16/2017,12.6,3.2,21.5,,,154,14.4,,1015,
4/17/2017,15.3,4.3,24,,,,11.3,,1011.1,
4/18/2017,15.8,5.4,24.8,,,,20.4,,1008.9,
4/19/2017,13.1,6.3,21,,,,15.7,,,
4/20/2017,8.3,1.5,17.7,,,135,17.9,,1017.8,
4/21/2017,5.4,2.5,9.4,,,,21.3,,1015.1,
4/22/2017,6,0.5,12.7,,,,9.3,,1023.4,
4/23/2017,13.7,5.7,23.5,,,189,22.9,,1008.2,
4/24/2017,12.6,7.1,18.6,,,,15.9,,998.3,
4/25/2017,7.4,0.4,14.6,,,,17.1,,999.7,
4/26/2017,5.6,-2.8,13.7,,,,11,,1006.7,
4/27/2017,6.4,3.8,10.7,,,,13.1,,998.8,
4/28/2017,4,-1.6,11.1,,,,18.5,,1005.6,
4/29/2017,-2,-2.4,-1.4,,,6,21.8,,1022.1,
4/30/2017,4.1,-4.3,14.6,,,324,20.4,,1014.9,
5/1/2017,10.2,2.8,18.1,,,,16.3,,1010.8,
5/2/2017,8.8,3.1,15.4,,,,10.8,,1013.2,
5/3/2017,5.9,1.9,12,,,,12.2,,1021.6,
5/4/2017,11.2,1.1,21.1,,,142,13,,1021.5,
5/5/2017,16.2,7,24.9,,,,13.4,,1014.2,
5/6/2017,20,12.6,29.1,,,185,21.2,,1006.7,
5/7/2017,17.8,11.7,24.6,,,212,19.9,,1004.9,
5/8/2017,13.6,9.8,21.5,,,280,18.5,,1011.4,
5/9/2017,13.6,10,17.7,,,,12.3,,1011,
5/10/2017,9.7,7.9,12.5,,,4,17.3,,1012.4,
5/11/2017,10.5,6.6,16.2,,,,13.1,,1019.2,
5/12/2017,16,6.7,25,,,169,20.2,,1013.1,
5/13/2017,19.9,10.3,28.7,,,,18.9,,1001.4,
5/14/2017,17,7.9,23.8,,,136,17.7,,1005.7,
5/15/2017,18.2,11.6,27,,,,12.2,,1001.9,
5/16/2017,13.2,6.9,21.2,,,,15.8,,999.7,
5/17/2017,12,4.5,20,,,,16.7,,998.9,
5/18/2017,1.3,0,4.8,,,310,19.2,,1010.3,
5/19/2017,1.4,0.1,2.8,,,341,19.7,,1019.5,
5/20/2017,7.5,0.2,15.7,,,,10.1,,1017.9,
5/21/2017,10.7,3.9,18.2,,,,12.5,,1018.9,
5/22/2017,,,,,,,,,,
5/23/2017,9.8,3.5,16.7,,,351,16.9,,1019.1,
5/24/2017,17.1,4,27.7,,,,15.9,,1003.3,
5/25/2017,17.3,8.6,24.9,,,237,19.3,,997.3,
5/26/2017,13.3,7,22.2,,,,16.6,,1008.4,
5/27/2017,10,7.4,13.6,,,,10.7,,1016.4,
5/28/2017,13,5.4,20.9,,,238,11.4,,1021.1,
5/29/2017,12.8,6.5,20.2,,,,11.2,,1020,
5/30/2017,15.8,7.9,23.6,,,141,11.7,,1017.6,
5/31/2017,17.6,8.5,26.5,,,,10.7,,1012.7,
6/1/2017,18.2,9.5,26.8,,,,13,,1010.7,
6/2/2017,16.4,11.5,25.1,,,180,17.1,,1011.3,
6/3/2017,16.8,9.8,23.8,,,,11.8,,1017.1,
6/4/2017,18.5,10.3,26.5,,,,11.2,,1013.9,
6/5/2017,19.4,14.2,27.8,,,,13,,1011.5,
6/6/2017,17.9,11,24.2,,,,9.2,,1017.5,
6/7/2017,18.8,10.9,27.7,,,,12.2,,1015.6,
6/8/2017,20,12.7,28.5,,,,11.5,,1011.3,
6/9/2017,23.9,14.9,30.9,,,173,18.8,,1003.4,
6/10/2017,25.6,18,34.1,,,198,19.4,,997.7,
6/11/2017,19.6,15.6,24.5,,,,13.2,,1003.6,
6/12/2017,23.2,14,31.9,,,,21,,1002.5,
6/13/2017,18.5,9,25.9,,,,14.8,,1003.4,
6/14/2017,20.1,10.5,29,,,,10.3,,1009.4,
6/15/2017,21,12.5,31.2,,,,10.5,,1011.4,
6/16/2017,23.5,12.7,32.3,,,223,13.7,,1008,
6/17/2017,21.6,15.6,29.3,,,96,16.9,,1007.5,
6/18/2017,20.9,14.4,29.7,,,,9,,1012.6,
6/19/2017,20.9,12.6,28.9,,,,12.5,,1016.5,
6/20/2017,26.1,16.7,34.7,,,,12.7,,1012.5,
6/21/2017,26.9,17.6,35,,,,13.6,,1008.5,
6/22/2017,23.7,18.8,32.2,,,,15.7,,1006.1,
6/23/2017,12.1,7.6,17.4,,,,12.7,,1019.6,
6/24/2017,15.7,8.8,24.4,,,,12.6,,1022.1,
6/25/2017,16.3,10.8,23.2,,,,13.1,,1022.1,
6/26/2017,21.7,13.9,31.1,,,,14.3,,1016.9,
6/27/2017,25.9,18.7,34.5,,,209,19.8,,1005.5,
6/28/2017,21.6,12,30.3,,,145,13.6,,1005.7,
6/29/2017,,,,,,,,,,
6/30/2017,15.8,10.7,23.2,,,,11,,1018,
7/1/2017,21.6,10.9,30.9,,,,11.1,,1014.3,
7/2/2017,,,,,,,,,,
7/3/2017,22.5,13.6,32.2,,,,13.1,,1013.6,
7/4/2017,24.4,14.9,32.9,,,,14.5,,1013.9,
7/5/2017,26.4,16.3,35.4,,,,11.7,,1015.7,
7/6/2017,26.4,20.3,35.2,,,224,20.9,,1017.2,
7/7/2017,23.4,16.5,31.3,,,295,16.2,,1019.6,
7/8/2017,22.9,15.2,31.4,,,,10.8,,1018.5,
7/9/2017,25.2,16,34.1,,,,13.5,,1014.2,
7/10/2017,25,16.5,34.4,,,227,15.6,,1010.6,
7/11/2017,25.4,17.8,33.3,,,250,14.2,,1009.2,
7/12/2017,21.9,17,26.4,,,,11.7,,1014.3,
7/13/2017,20.9,14.4,29.1,,,,11,,1018.8,
7/14/2017,21.3,14.4,30.8,,,,12.7,,1019.5,
7/15/2017,19.4,16.6,24.6,,,150,14.5,,1021,
7/16/2017,21.6,13.2,29.9,,,,9.3,,1015.5,
7/17/2017,24.7,15.5,34.9,,,,12.9,,1010.8,
7/18/2017,25.2,17.4,33.8,,,196,16.2,,1013.3,
7/19/2017,26.9,20.2,36.9,,,198,18.6,,1013,
7/20/2017,,,,,,,,,,
7/21/2017,23.6,16,32.8,,,,13.1,,1013.2,
7/22/2017,22.5,15.7,30.5,,,,10,,1015,
7/23/2017,24,16.6,30.6,,,,11.6,,1014.6,
7/24/2017,26.7,20.3,35.5,,,,19.4,,1010.3,
7/25/2017,23.8,19.5,31.2,,,,13.7,,1011.6,
7/26/2017,20.9,16.7,26.9,,,,9.8,,1017.3,
7/27/2017,22,16,29.3,,,,15.7,,1016.1,
7/28/2017,22.4,17.3,30.5,,,,14,,1013.8,
7/29/2017,20.5,18.1,24.3,,,,11.1,,1016.6,
7/30/2017,20.2,16.1,26.8,,,,8.7,,1019.2,
7/31/2017,21.4,14.3,29.2,,,119,15.5,,1019.5,
8/1/2017,22.1,14.3,29.8,,,152,11.6,,1019.9,
