date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
1/1/2017,-1.3,-8.8,10,0,0,,10.8,,1005.6,
1/2/2017,2.7,-6.6,11.1,0,0,,15.8,,1008,
1/3/2017,-5.9,-13.2,-5.5,0.5,0,,10.4,,1022.8,
1/4/2017,-9.4,-13.8,-2.1,0,0,,10.8,,1017,
1/5/2017,-14.4,-17.1,-13.2,4.3,30,,10.8,,,
1/6/2017,-14.1,-21.6,-7.1,0,50,,5.4,,1027.4,
1/7/2017,-11.2,-17.7,-1.6,0,50,,10.8,,1033.6,
1/8/2017,-2.2,-11.6,8.3,0,30,,8.6,,1023.9,
1/9/2017,8.3,-0.5,15.6,0,30,272,48.2,,,
1/10/2017,7.2,1.1,11.1,0,0,,33.5,,1004.8,
1/11/2017,8.7,0,13.9,0,0,267,35.3,,1000.1,
1/12/2017,3.3,-7.7,8.9,0,0,,18,,1017.1,
1/13/2017,-3.7,-8.2,5,0,0,,6.5,,,
1/14/2017,0.2,-5.5,8.9,0,0,,9.7,,1028.8,
1/15/2017,-1.1,-4.3,2.8,1,0,,8.3,,1019.2,
1/16/2017,-0.1,-2.1,1.1,0.3,30,324,29.2,,1018.5,
1/17/2017,0.2,-5.5,7.2,0,0,,7.6,,1020.9,
1/18/2017,1.4,-5.5,12.8,0,0,,12.6,,1013.6,
1/19/2017,3.5,-2.1,12.2,0,0,,10.1,,1002.2,
1/20/2017,1.6,-2.7,3.9,1.3,0,,11.2,,,
1/21/2017,-0.7,-6.6,5,0,0,,11.2,,999,
1/22/2017,1.6,-3.8,7.2,0,0,9,16.6,,1012.8,
1/23/2017,2.6,-5.5,11.7,0,0,202,19.1,,1004.1,
1/24/2017,0.8,-6.6,4.4,0,0,358,23,,1002,
1/25/2017,-5.7,-8.2,-2.1,0,0,,8.6,,1018.5,
1/26/2017,-7.1,-11.6,-3.2,0.8,30,,9,,1027.4,
