date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
1/1/2017,,-8.3,3.9,0,0,,,,,
1/2/2017,,-6.7,10,0,0,,,,,
1/3/2017,,-10.6,11.1,0,0,,,,,
1/4/2017,,-12.8,0,0,0,,,,,
1/5/2017,,-17.2,-11.1,6.1,127,,,,,
1/6/2017,,-24.4,-13.9,2.5,127,,,,,
1/7/2017,,-24.4,-2.2,0,102,,,,,
1/8/2017,,-16.1,-2.2,0,102,,,,,
1/9/2017,,-8.3,14.4,0,51,,,,,
1/10/2017,,0,17.2,0,0,,,,,
1/11/2017,,-1.7,11.1,0,0,,,,,
1/12/2017,,-4.4,13.9,0,0,,,,,
1/13/2017,,-7.8,6.1,0,0,,,,,
1/14/2017,,-6.7,3.3,0,0,,,,,
1/15/2017,,-6.1,5,0,0,,,,,
1/16/2017,,-6.1,1.1,2,25,,,,,
1/17/2017,,-10,1.1,2.5,51,,,,,
1/18/2017,,-10,7.8,0,51,,,,,
1/19/2017,,-9.4,13.3,0,25,,,,,
1/20/2017,,-3.9,11.7,0,0,,,,,
1/21/2017,,-6.1,7.8,0,0,,,,,
1/22/2017,,-6.1,3.3,0,0,,,,,
1/23/2017,,-3.9,7.8,0,0,,,,,
1/24/2017,,-4.4,12.8,0,0,,,,,
1/25/2017,,-9.4,1.1,0,0,,,,,
1/26/2017,,-10.6,-1.1,0,0,,,,,
1/27/2017,,-11.7,-1.7,0,0,,,,,
1/28/2017,,-11.1,5,0,0,,,,,
1/29/2017,,-6.1,9.4,0,0,,,,,
1/30/2017,,-3.3,15.6,0,0,,,,,
1/31/2017,,1.7,17.2,0,0,,,,,
2/1/2017,,-3.3,17.2,0,0,,,,,
2/2/2017,,-7.2,-1.7,0.3,0,,,,,
2/3/2017,,-10,-4.4,0.3,0,,,,,
2/4/2017,,-10,8.3,0.3,0,,,,,
2/5/2017,,-0.6,16.1,0,0,,,,,
2/6/2017,,-1.1,15.6,0,0,,,,,
2/7/2017,,1.1,16.7,0,0,,,,,
2/8/2017,,0.6,17.8,0,0,,,,,
2/9/2017,,1.1,15,0,0,,,,,
2/10/2017,,1.7,21.1,0,0,,,,,
2/11/2017,,2.8,28.3,0,0,,,,,
2/12/2017,,0,11.7,0,0,,,,,
2/13/2017,,-2.8,10,0,0,,,,,
2/14/2017,,-6.1,8.3,0,0,,,,,
2/15/2017,,-6.1,8.9,0,0,,,,,
2/16/2017,,-2.2,20,0,0,,,,,
2/17/2017,,-1.7,24.4,0,0,,,,,
2/18/2017,,-1.1,20,0,0,,,,,
2/19/2017,,1.7,19.4,0,0,,,,,
2/20/2017,,1.7,18.9,0,0,,,,,
2/21/2017,,3.9,17.8,0,0,,,,,
2/22/2017,,5.6,23.3,0,0,,,,,
2/23/2017,,-2.8,14.4,0,0,,,,,
2/24/2017,,-8.3,0,2,25,,,,,
2/25/2017,,-9.4,-3.9,0,0,,,,,
2/26/2017,,-10,2.8,0,0,,,,,
2/27/2017,,-10,6.1,0,0,,,,,
2/28/2017,,-9.4,13.9,0,0,,,,,
3/1/2017,,-5,2.8,0,0,,,,,
3/2/2017,,-7.2,8.3,0,0,,,,,
3/3/2017,,-7.2,11.7,0,0,,,,,
3/4/2017,,-2.8,17.8,0,0,,,,,
3/5/2017,,-1.7,22.8,0,0,,,,,
3/6/2017,,7.2,21.1,0,0,,,,,
3/7/2017,,-7.8,7.2,0,0,,,,,
3/8/2017,,-8.3,11.7,0,0,,,,,
3/9/2017,,-2.2,18.3,0,0,,,,,
3/10/2017,,-2.2,22.2,0,0,,,,,
3/11/2017,,-2.8,20,0,0,,,,,
3/12/2017,,0,9.4,0,0,,,,,
3/13/2017,,-2.8,17.2,0,0,,,,,
3/14/2017,,-3.3,13.3,0,0,,,,,
3/15/2017,,2.2,22.8,0,0,,,,,
3/16/2017,,4.4,25.6,0,0,,,,,
3/17/2017,,5,26.1,0,0,,,,,
3/18/2017,,1.7,22.8,0,0,,,,,
3/19/2017,,1.7,27.8,0,0,,,,,
3/20/2017,,7.8,27.8,0,0,,,,,
3/21/2017,,3.3,24.4,0,0,,,,,
3/22/2017,,2.8,18.3,0,0,,,,,
3/23/2017,,2.8,21.1,0,0,,,,,
3/24/2017,,0,25,14.5,0,,,,,
3/25/2017,,-0.6,11.1,0,0,,,,,
3/26/2017,,-1.1,18.3,0,0,,,,,
3/27/2017,,0,11.1,0,0,,,,,
3/28/2017,,0,17.8,0.3,0,,,,,
3/29/2017,,1.7,6.7,2.8,0,,,,,
3/30/2017,,0.6,13.9,0.3,0,,,,,
3/31/2017,,0.6,19.4,0,0,,,,,
4/1/2017,,0,6.7,1.8,0,,,,,
4/2/2017,,-0.6,5,0,0,,,,,
4/3/2017,,-0.6,17.2,1,0,,,,,
4/4/2017,,-0.6,15,4.3,0,,,,,
4/5/2017,,-2.8,5,3.6,0,,,,,
4/6/2017,,-2.8,13.3,0,0,,,,,
4/7/2017,,0.6,18.9,0,0,,,,,
4/8/2017,,8.3,25,0,0,,,,,
4/9/2017,,6.1,25.6,0,0,,,,,
4/10/2017,,0,16.7,0,0,,,,,
4/11/2017,,-1.1,15.6,0,0,,,,,
